Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
SIRA NO,KALİTE KONTROL BÖLÜMÜ MAKİNA LİSTESİ.,Miktar,,Birim,KW,Yerli / İthal,Fiyat,Toplam
1,"DİK ÜRÜN TAŞLAMA EL TEZGAHLARI ÇAP 400, 300 VE 200 LÜK",3,,Adet,4.5,Y,1000,3000
2,KALİTE KONTROL MASALARI 1000 x 3000 x 800 mm ,4,,Adet,,Y,1000,"4,000.00 €"
3,KALİTE KONTROL ÜNİTESİ  AMBAR RAFI 1050*2700*5600 mm,25,,Adet,,Y,2000,"50,000.00 €"
4,TRANSPALET 3 TONLUK ,4,,Adet,,Y,320,"1,280.00 €"
5, AKÜLÜ  İSTİF TRANSPALETİ LİNDE L16,1,,Adet,,İ,21000,21000
,,,,,,,,
,,,,,"4,5KW",,TOPLAM,"79,280.00 €"
